Variant,Target,Bin,N,Positive,Mean_Predicted_Probability,Observed_Event_Rate,Expected_Events,Absolute_Gap
Original_uncalibrated,5y,1,2364,23,0.014742859622673434,0.00972927241962775,34.852120148,0.005013587203045684
Original_uncalibrated,5y,2,2364,54,0.0324782144928088,0.02284263959390863,76.778499061,0.00963557489890017
Original_uncalibrated,5y,3,2364,73,0.05488490618527919,0.030879864636209814,129.747918222,0.024005041549069378
Original_uncalibrated,5y,4,2364,54,0.0848591506607445,0.02284263959390863,200.607032162,0.06201651106683587
Original_uncalibrated,5y,5,2364,51,0.12680140880668356,0.021573604060913704,299.75853041899995,0.10522780474576986
Original_uncalibrated,5y,6,2364,70,0.18734225354060913,0.02961082910321489,442.87708736999997,0.15773142443739424
Original_uncalibrated,5y,7,2364,118,0.2732115149915398,0.04991539763113367,645.87202144,0.2232961173604061
Original_uncalibrated,5y,8,2364,174,0.3906373805879865,0.07360406091370558,923.4667677100001,0.31703331967428094
Original_uncalibrated,5y,9,2364,216,0.5530308780245347,0.09137055837563451,1307.3649956499999,0.46166031964890014
Original_uncalibrated,5y,10,2364,416,0.7854904524619288,0.17597292724196278,1856.8994296199999,0.609517525219966
Platt_calibrated,5y,1,2364,23,0.004127028863109805,0.00972927241962775,9.756296232391579,0.005602243556517945
Platt_calibrated,5y,2,2364,54,0.008049562456744215,0.02284263959390863,19.029165647743326,0.014793077137164413
Platt_calibrated,5y,3,2364,73,0.012580479916402482,0.030879864636209814,29.740254522375466,0.018299384719807334
Platt_calibrated,5y,4,2364,54,0.018378044220759174,0.02284263959390863,43.44569653787469,0.004464595373149454
Platt_calibrated,5y,5,2364,51,0.02636195518970034,0.021573604060913704,62.319662068451606,0.004788351128786637
Platt_calibrated,5y,6,2364,70,0.03810152901601356,0.02961082910321489,90.07201459385605,0.00849069991279867
Platt_calibrated,5y,7,2364,118,0.05594983381753716,0.04991539763113367,132.26540714465784,0.006034436186403487
Platt_calibrated,5y,8,2364,174,0.0843765808722117,0.07360406091370558,199.46623718190847,0.010772519958506116
Platt_calibrated,5y,9,2364,216,0.13760568147938765,0.09137055837563451,325.2998310172724,0.046235123103753134
Platt_calibrated,5y,10,2364,416,0.30627441102216624,0.17597292724196278,724.0327076564009,0.13030148378020345
Isotonic_sensitivity,5y,1,3767,58,0.003208034498866385,0.015396867533846562,12.084665957229673,0.012188833034980178
Isotonic_sensitivity,5y,2,2655,71,0.005384615384615384,0.026741996233521657,14.296153846153846,0.021357380848906274
Isotonic_sensitivity,5y,3,4478,108,0.016626781086159635,0.0241179097811523,74.45472570382285,0.007491128694992664
Isotonic_sensitivity,5y,4,1887,40,0.03330786951712406,0.021197668256491786,62.85194977881311,0.012110201260632277
Isotonic_sensitivity,5y,5,2049,68,0.04586498822911546,0.03318692044899951,93.97736088145757,0.012678067780115945
Isotonic_sensitivity,5y,6,2928,166,0.07768234889675485,0.05669398907103825,227.4539175696982,0.020988359825716597
Isotonic_sensitivity,5y,7,1335,119,0.1107763540242174,0.08913857677902622,147.88643262233023,0.021637777245191184
Isotonic_sensitivity,5y,8,3140,329,0.15973173812918978,0.10477707006369427,501.5576577256559,0.05495466806549551
Isotonic_sensitivity,5y,9,1401,290,0.3616414632352932,0.20699500356887937,506.65968999264584,0.15464645966641385
