Variant,Target,Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,TP,FP
Platt_calibrated,1m,0.036,0.0016551900441965869,-0.031132860604224606,0.0,194,2582
Platt_calibrated,1m,0.037,0.0016131891521088244,-0.03220361123828922,0.0,192,2522
Platt_calibrated,1m,0.038,0.0015795295175129614,-0.03327658796514815,0.0,191,2478
Platt_calibrated,1m,0.039,0.0015428167525205075,-0.034351797734102525,0.0,189,2416
Platt_calibrated,1m,0.04,0.001508289229655765,-0.03542924752340888,0.0,187,2354
Platt_calibrated,1m,0.041,0.0014950923824702614,-0.03650894434043016,0.0,186,2289
Platt_calibrated,1m,0.042,0.0014767684746034495,-0.0375908952217876,0.0,185,2234
Platt_calibrated,1m,0.043,0.0014373310883388048,-0.038675107233513605,0.0,183,2187
Platt_calibrated,1m,0.044,0.0014373795914242123,-0.03976158747120557,0.0,183,2135
Platt_calibrated,1m,0.045,0.0014135202017223703,-0.04085034306018065,0.0,182,2094
Platt_calibrated,1m,0.046,0.0014015239772939671,-0.04194138115563158,0.0,182,2061
Platt_calibrated,1m,0.047,0.001391513924145804,-0.043034708942783335,0.0,182,2027
Platt_calibrated,1m,0.048,0.001384405030841214,-0.04413033363705097,0.0,182,1991
Platt_calibrated,1m,0.049,0.0013677205743959087,-0.04522826248419824,0.0,181,1948
Platt_calibrated,1m,0.05,0.0013257886880316545,-0.046328502760497395,0.0,179,1916
Platt_calibrated,1m,0.051,0.0013092396721892368,-0.0474310617728899,0.0,178,1876
Platt_calibrated,1m,0.052,0.001305503211366123,-0.048535946859148235,0.0,178,1842
Platt_calibrated,1m,0.053,0.001286013943224871,-0.04964316538803857,0.0,177,1808
Platt_calibrated,1m,0.054,0.0012667703713947092,-0.050752724759484696,0.0,176,1775
Platt_calibrated,1m,0.055,0.0012147807812077046,-0.05186463240473283,0.0,173,1742
Platt_calibrated,1m,0.056,0.0011968944570820042,-0.0529788957865175,0.0,172,1710
Platt_calibrated,1m,0.057,0.0011940443809849723,-0.05409552239922855,0.0,172,1681
Platt_calibrated,1m,0.058,0.0011669143041703077,-0.055214519769079116,0.0,171,1660
Platt_calibrated,1m,0.059,0.0011554096353033627,-0.05633589545427472,0.0,170,1625
Platt_calibrated,1m,0.06,0.0011430142950774234,-0.05745965704518353,0.0,169,1592
Platt_calibrated,1m,0.061,0.0011399682433288808,-0.05858581216450747,0.0,169,1567
Platt_calibrated,1m,0.062,0.0011095000927356317,-0.05971436846745471,0.0,167,1537
Platt_calibrated,1m,0.063,0.0010359349566885303,-0.060845333641913045,0.0,163,1516
Platt_calibrated,1m,0.064,0.0010263311423577403,-0.06197871540862449,0.0,163,1499
Platt_calibrated,1m,0.065,0.0010326537750643505,-0.06311452152136099,0.0,163,1469
Platt_calibrated,1m,0.066,0.0010279113585095034,-0.06425275976710121,0.0,162,1435
Platt_calibrated,1m,0.067,0.0010170317501389402,-0.06539343796620849,0.0,162,1421
Platt_calibrated,1m,0.068,0.0009958636603751825,-0.06653656397261001,0.0,161,1402
Platt_calibrated,1m,0.069,0.0009477389458758267,-0.06768214567397694,0.0,158,1378
Platt_calibrated,1m,0.07,0.000931868026037585,-0.06883019099190596,0.0,157,1356
Platt_calibrated,1m,0.071,0.0009129136239864406,-0.06998070788210174,0.0,156,1337
Platt_calibrated,1m,0.072,0.0008985978072166257,-0.0711337043345609,0.0,155,1315
Platt_calibrated,1m,0.073,0.000891369322754014,-0.07228918837375677,0.0,155,1301
Platt_calibrated,1m,0.074,0.0008981938521862207,-0.07344716805882562,0.0,155,1277
Platt_calibrated,1m,0.075,0.000897661129714326,-0.07460765148375408,0.0,155,1259
Platt_calibrated,1m,0.076,0.0008850108592271711,-0.07577064677756766,0.0,154,1238
Platt_calibrated,1m,0.077,0.0008703115905155667,-0.0769361621045206,0.0,153,1219
Platt_calibrated,1m,0.078,0.0008761493964426811,-0.0781042056642869,0.0,153,1198
Platt_calibrated,1m,0.079,0.0008813184144807113,-0.07927478569215259,0.0,153,1178
Platt_calibrated,1m,0.08,0.0008628980393776513,-0.08044791045920927,0.0,152,1163
Platt_calibrated,1m,0.081,0.0008560107771417211,-0.08162358827254901,0.0,152,1152
Platt_calibrated,1m,0.082,0.0008692127504640972,-0.08280182747546028,0.0,152,1128
Platt_calibrated,1m,0.083,0.0008741192768254764,-0.08398263644762544,0.0,152,1110
Platt_calibrated,1m,0.084,0.0008719254092293869,-0.08516602360531936,0.0,152,1097
Platt_calibrated,1m,0.085,0.0008208956884066837,-0.08635199740160933,0.0,149,1083
Platt_calibrated,1m,0.086,0.0008244663239729507,-0.08754056632655638,0.0,149,1067
Platt_calibrated,1m,0.087,0.0008084435597037233,-0.08873173890741787,0.0,148,1053
Platt_calibrated,1m,0.088,0.000806037858930132,-0.08992552370885146,0.0,147,1031
Platt_calibrated,1m,0.089,0.000813160391404405,-0.09112192933312022,0.0,147,1014
Platt_calibrated,1m,0.09,0.0008006140961765878,-0.09232096442029948,0.0,146,999
Platt_calibrated,1m,0.091,0.0007682780762809623,-0.09352263764848462,0.0,144,986
Platt_calibrated,1m,0.092,0.00075511294785932,-0.09472695773400058,0.0,143,972
Platt_calibrated,1m,0.093,0.0007424798572882648,-0.09593393343161248,0.0,142,958
Platt_calibrated,1m,0.094,0.000696454660460847,-0.09714357353473789,0.0,139,944
Platt_calibrated,1m,0.095,0.0006893894011721492,-0.09835588687566026,0.0,139,937
Platt_calibrated,1m,0.096,0.0006836220137697148,-0.09957088232574395,0.0,138,920
Platt_calibrated,1m,0.097,0.0006712294943634906,-0.10078856879565064,0.0,137,907
Platt_calibrated,1m,0.098,0.0006556501000927059,-0.10200895523555713,0.0,136,896
Platt_calibrated,1m,0.099,0.0006555870657728802,-0.10323205063537462,0.0,136,886
Platt_calibrated,1m,0.1,0.0006596703909772168,-0.10445786402496948,0.0,136,874
Isotonic_sensitivity,1m,0.001,0.005269908937299357,0.004992915292820301,0.0,328,17311
Isotonic_sensitivity,1m,0.002,0.004957635450028841,0.003995914205939359,0.0,325,16336
Isotonic_sensitivity,1m,0.003,0.004500405817806248,0.0029969131168781143,0.0,296,10200
Isotonic_sensitivity,1m,0.004,0.004326166111044803,0.001995906001533614,0.0,296,10200
Isotonic_sensitivity,1m,0.005,0.004138193341521013,0.0009928868115854066,0.0,293,9760
Isotonic_sensitivity,1m,0.006,0.00358730616839864,-1.2150525626278448e-05,0.0,246,5719
Isotonic_sensitivity,1m,0.007,0.0034890214675479063,-0.0010192121072230814,0.0,246,5719
Isotonic_sensitivity,1m,0.008,0.0033905386120583613,-0.0020283040549118137,0.0,246,5719
Isotonic_sensitivity,1m,0.009,0.0032918570020673233,-0.003039432515108495,0.0,246,5719
Isotonic_sensitivity,1m,0.01,0.003192976035288425,-0.004052603659063152,0.0,246,5719
Isotonic_sensitivity,1m,0.011,0.0030938951069993566,-0.005067823682985359,0.0,246,5719
Isotonic_sensitivity,1m,0.012,0.0029946136100295418,-0.006085098808170567,0.0,246,5719
Isotonic_sensitivity,1m,0.013,0.0028951309347477307,-0.007104435281127172,0.0,246,5719
Isotonic_sensitivity,1m,0.014,0.0028114804164256985,-0.008125839373704383,0.0,245,5582
Isotonic_sensitivity,1m,0.015,0.0027139863593748812,-0.00914931738322083,0.0,245,5582
Isotonic_sensitivity,1m,0.016,0.0026162941436715216,-0.010174875632594026,0.0,245,5582
Isotonic_sensitivity,1m,0.017,0.0025184031645587965,-0.01120252047047052,0.0,245,5582
Isotonic_sensitivity,1m,0.018,0.0023986168180181247,-0.012232258271356943,0.0,240,5379
Isotonic_sensitivity,1m,0.019,0.0023071863852607882,-0.013264095435751803,0.0,240,5369
Isotonic_sensitivity,1m,0.02,0.0022872291812640376,-0.014298038390278083,0.0,226,4467
Isotonic_sensitivity,1m,0.021,0.0022082507248500226,-0.01533409358781667,0.0,226,4467
Isotonic_sensitivity,1m,0.022,0.0021291107583001913,-0.016372267507640613,0.0,226,4467
Isotonic_sensitivity,1m,0.023,0.002049808785677587,-0.017412566655550174,0.0,226,4467
Isotonic_sensitivity,1m,0.024,0.001970344309012723,-0.01845499756400873,0.0,226,4467
Isotonic_sensitivity,1m,0.025,0.001991624650737149,-0.01949956679227951,0.0,222,4079
Isotonic_sensitivity,1m,0.026,0.0019280642616566483,-0.020546280926563163,0.0,221,4021
Isotonic_sensitivity,1m,0.027,0.0018565629438174445,-0.0215951465801362,0.0,221,4020
Isotonic_sensitivity,1m,0.028,0.0017844607623863059,-0.022646170393490248,0.0,221,4020
Isotonic_sensitivity,1m,0.029,0.00171271668731104,-0.023699359034472216,0.0,221,4019
