Scope,Model,Model_Family,Target,N_Nodes,N_Patients,Positive_N,Negative_N,AUROC,AUROC_CI95_Low,AUROC_CI95_High,AUROC_SE,CI_Method,N_Bootstrap_Requested,N_Bootstrap_Valid,Bootstrap_Seed,AUROC_Delong_CI95_Low,AUROC_Delong_CI95_High,AUROC_Delong_SE,Delong_CI_Method,Stage,Stage_Label,Day_Range,CI_width,Error_Low,Error_High,Low_Event_Flag
All-model common valid,LSTM,ML,1y,8483,1003,300,8183,0.7553875921626136,0.6271561314277896,0.8596401227360931,0.0598571965113311,Patient-level cluster bootstrap percentile,2000,2000,20263630,0.7263323113136071,0.7844428730116202,0.0148243952838883,DeLong normal approximation,Stage2,2m-3m,31-90d,0.23248399130830355,0.12823146073482405,0.1042525305734795,False
All-model common valid,RSF,ML,1y,8483,1003,300,8183,0.7482384211169498,0.6197253612692853,0.8460920729971584,0.0578115412125664,Patient-level cluster bootstrap percentile,2000,2000,20263645,0.7147868522004596,0.7816899900334401,0.0170674406164357,DeLong normal approximation,Stage2,2m-3m,31-90d,0.22636671172787304,0.12851305984766448,0.09785365188020856,False
All-model common valid,Qwen3-4B SFT,LLM,1y,8483,1003,300,8183,0.7133917878528657,0.6184157775037957,0.7963529464020874,0.046541209795983,Patient-level cluster bootstrap percentile,2000,2000,20263660,0.684785707472478,0.7419978682332534,0.0145952071599421,DeLong normal approximation,Stage2,2m-3m,31-90d,0.1779371688982917,0.09497601034907,0.0829611585492217,False
All-model common valid,Qwen3-4B baseline,LLM,1y,8483,1003,300,8183,0.5959778402378917,0.5142463444609486,0.6682192335910271,0.0396761492288022,Patient-level cluster bootstrap percentile,2000,2000,20263675,0.5657813191298312,0.6261743613459522,0.0154066714216418,DeLong normal approximation,Stage2,2m-3m,31-90d,0.15397288913007845,0.08173149577694305,0.0722413933531354,False
All-model common valid,Llama3.1-8B,LLM,1y,8483,1003,300,8183,0.5365894741129984,0.5002901784957033,0.5711643968882988,0.0182031812805445,Patient-level cluster bootstrap percentile,2000,2000,20263690,0.5058820244237207,0.5672969238022761,0.0156673540593063,DeLong normal approximation,Stage2,2m-3m,31-90d,0.07087421839259544,0.03629929561729506,0.03457492277530039,False
All-model common valid,Huatuo-O1-7B,LLM,1y,8483,1003,300,8183,0.5334930139720558,0.4732191413034616,0.5938409400752698,0.0314306800258055,Patient-level cluster bootstrap percentile,2000,2000,20263705,0.5015740033321876,0.5654120246119241,0.0162855087601819,DeLong normal approximation,Stage2,2m-3m,31-90d,0.12062179877180818,0.06027387266859424,0.060347926103213934,False
All-model common valid,XGBoost,ML,1y,16788,971,342,16446,0.788429686238784,0.7199896898616724,0.878013732344822,0.0405702808832044,Patient-level cluster bootstrap percentile,2000,2000,20263616,0.7671732973210772,0.8096860751564907,0.010845295671438,DeLong normal approximation,Stage3,4m-12m,91-365d,0.1580240424831496,0.06843999637711151,0.0895840461060381,False
All-model common valid,LSTM,ML,1y,16788,971,342,16446,0.6457127455226497,0.4572057376452107,0.7983701634526703,0.089270408576541,Patient-level cluster bootstrap percentile,2000,2000,20263631,0.6132976240301155,0.6781278670151839,0.0165386311933385,DeLong normal approximation,Stage3,4m-12m,91-365d,0.3411644258074596,0.18850700787743896,0.15265741793002063,False
All-model common valid,RSF,ML,1y,16788,971,342,16446,0.687374345101068,0.5482269890935291,0.792132415467355,0.0629017105316716,Patient-level cluster bootstrap percentile,2000,2000,20263646,0.6558056858226243,0.7189430043795116,0.0161067547809312,DeLong normal approximation,Stage3,4m-12m,91-365d,0.24390542637382595,0.1391473560075389,0.10475807036628704,False
All-model common valid,Qwen3-4B SFT,LLM,1y,16788,971,342,16446,0.6367616007874075,0.524478164443854,0.7897828133857197,0.0680254993653816,Patient-level cluster bootstrap percentile,2000,2000,20263661,0.6062372629975616,0.6672859385772534,0.0155739279040931,DeLong normal approximation,Stage3,4m-12m,91-365d,0.2653046489418657,0.11228343634355353,0.15302121259831214,False
All-model common valid,Qwen3-4B baseline,LLM,1y,16788,971,342,16446,0.6110935985429543,0.5419649968224703,0.673139764120622,0.0315969255139142,Patient-level cluster bootstrap percentile,2000,2000,20263676,0.58421688627045,0.6379703108154586,0.0137128602793236,DeLong normal approximation,Stage3,4m-12m,91-365d,0.1311747672981517,0.06912860172048396,0.06204616557766773,False
All-model common valid,Llama3.1-8B,LLM,1y,16788,971,342,16446,0.5413829986210408,0.4982046173515138,0.5750824468895024,0.0204377773031643,Patient-level cluster bootstrap percentile,2000,2000,20263691,0.5118908227020016,0.57087517454008,0.015047305027883,DeLong normal approximation,Stage3,4m-12m,91-365d,0.0768778295379886,0.043178381269527,0.03369944826846161,False
All-model common valid,Huatuo-O1-7B,LLM,1y,16788,971,342,16446,0.5542600699933791,0.5114501623033697,0.592150905213175,0.0199416368597507,Patient-level cluster bootstrap percentile,2000,2000,20263706,0.5236498078965354,0.5848703320902228,0.0156177676418003,DeLong normal approximation,Stage3,4m-12m,91-365d,0.08070074290980533,0.04280990769000936,0.03789083521979597,False
All-model common valid,XGBoost,ML,1y,11158,866,134,11024,0.71627575114269,0.4868648133251091,0.9135120462553696,0.1120977958744362,Patient-level cluster bootstrap percentile,2000,2000,20263617,0.6638961856829673,0.7686553166024128,0.0267247591654163,DeLong normal approximation,Stage4,1y-2y,366-730d,0.4266472329302605,0.22941093781758093,0.1972362951126796,False
All-model common valid,LSTM,ML,1y,11158,866,134,11024,0.6652161904555596,0.4447046643718145,0.8248867766511119,0.0982168247630829,Patient-level cluster bootstrap percentile,2000,2000,20263632,0.6141394966048339,0.7162928843062852,0.0260600165378609,DeLong normal approximation,Stage4,1y-2y,366-730d,0.3801821122792974,0.22051152608374508,0.1596705861955523,False
